quantity;product_name;price;order_id;note
1;Bánh Canh Cua STANDARD;48000;A-378QURPGWH6W;
6;Bánh Canh Cua STANDARD;288000;A-378QL7LWWIB7;
2;Phở tái bò viên;100000;A-3AO2C8JWWGSM;
2;Phở tái gân;100000;A-3AO2C8JWWGSM;
2;Phở nạm bò viên;100000;A-3AO2C8JWWGSM;
1;Trứng;0;A-3AO2C8JWWGSM;
8;Mì hoành thánh thập cẩm;480000;A-3BXN3MFWWGSM;
3;Mì quảng đặc biệt;165000;A-3CJWVKHGWF2U;
3;Hủ tiếu bò kho;120000;A-3DFPJWCGWF4Q;
2;Bún cà ri gà;80000;A-3DFPJWCGWF4Q;
1;Nhân Trần Sâm Sen;0;A-3DFPJWCGWF4Q;
2;Bún đặc biệt 1;114000;A-3EJTAQRWWGNC;
6;Bún mọc đặc biệt;240000;A-3F88JI9WWFJA;
2;Chè khoai dẻo caramel;70000;A-3LJ2MWPWWHWT;
1;Chè dừa dầm khoai dẻo;35000;A-3LJ2MWPWWHWT;
2;Chè khoai dẻo đậu đỏ;64000;A-3LJ2MWPWWHWT;
1;Tàu hũ kem trứng trân châu đường đen;30000;A-3LJ2MWPWWHWT;
2;Combo Bún chả + Nem rán;115320;A-3P5JF52WWEK2;
2;Cháo thịt bằm lớn;58000;A-3QMURLVG2GXQ;
3;Bánh canh thập cẩm;177000;A-3SLUJF4GWI3B;
1;Bánh canh tôm thịt chả;49000;A-3SLUJF4GWI3B;
1;Gà nướng chanh dây mật ong - 1 con;209000;A-3VKENPDWWILE;
4;Bún chả Hà Nội đặc biệt - nem rán;209000;A-443MRO7GWG85;
5;Mì Quảng truyền thống;215000;A-45WHJUSGWJ9A;
3;Phở thập cẩm;210000;A-4E22KU7GWI2M;
1;Trà Sữa Chocomint;24000;A-4K2UX3UGWG8R;
1;Trà Sữa Phô Mai Jerry;49000;A-4K2UX3UGWG8R;Trân Châu Trắng, Kem Cheese
1;Trà Sữa Phô Mai Tươi;29000;A-4K2UX3UGWG8R;
4;Bún chả Hà Nội đặc biệt - nem rán;212040;A-4M4H5VVGWIQJ;
4;Bánh canh cá lóc đặc biệt;180000;A-4OBPCHJWWIW4;rau đắng sống
6;Cơm gà sốt mắm tỏi;258000;A-4QLQIT2GWHWL;
5;Mì Quảng thập cẩm;275500;A-4SFHJ99WWJ43;
1;Tô mì thêm;1000;A-4SFHJ99WWJ43;
5;Bún cà ri gà;200000;A-4SNPAUUGWHKG;
2;Bún đậu thập cẩm;128000;A-4TCDCL7WWIJA;
2;Cơm Gà Xốt Tiêu Đen;116000;A-4U97HQIWWHDJ;
3;Cơm Gà Mắm Tỏi (Đùi Tỏi/Má Đùi);126000;A-4U97HQIWWHDJ;Má đùi
3;Cơm Gà Xốt Chua Cay (Đùi Tỏi/Má Đùi);138000;A-4V63ISLWWJN3;Má đùi
3;Cơm Gà Xốt Lá Chanh (Đùi Tỏi/Má Đùi);138000;A-4V63ISLWWJN3;Má đùi
2;Cơm Gà Xốt Chao (Đùi Tỏi/Má Đùi);92000;A-5W2UUGCGWJ9T;Má đùi
2;Cơm Gà Xối Mắc Khén (Đùi Tỏi/Má Đùi);92000;A-5W2UUGCGWJ9T;Má đùi
3;Cơm Gà Xốt Me (Đùi Tỏi/Má Đùi);138000;A-5W2UUGCGWJ9T;Má đùi
3;Cơm Gà Xốt Tiêu Đen (Đùi Tỏi/Má Đùi);138000;A-5WVO9CBWWE9N;Má đùi
3;Cơm Gà Xốt Me (Đùi Tỏi/Má Đùi);138000;A-5WVO9CBWWE9N;Má đùi
6;Mì Quảng truyền thống;253700;A-5XSLWHAGWFF3;
5;Bánh canh cua thập cẩm;235000;A-54J3RJDWWIOA;
4;Cơm Gà Xối Mắm Tỏi (Đùi Tỏi/Má Đùi);168000;A-55FVL66GWGCR;Má đùi
1;Cơm Vàng Thêm;0;A-55FVL66GWGCR;
3;Mì quảng đặc biệt;165000;A-5939CLKWWHHF;
3;Cơm Gà Xối Mắm Tỏi (Đùi Tỏi/Má Đùi);144000;A-5AW5E8MWWIC5;Má đùi
2;Cơm Gà Xốt Thái (Đùi Tỏi/Má Đùi);90000;A-5AW5E8MWWIC5;
3;Cơm Gà Xốt Chua Cay (Đùi Tỏi/Má Đùi);144000;A-5ASVBG7WWE7I;Má đùi
3;Cơm Gà Xốt Thái (Đùi Tỏi/Má Đùi);144000;A-5ASVBG7WWE7I;
6;Mì quảng đặc biệt;330000;A-5DJG7CQGWHMM;
